 15:26:04 up 1 day, 12:37,  0 users,  load average: 0.08, 0.07, 0.07
 15:26:05 up 1 day, 12:37,  0 users,  load average: 0.08, 0.07, 0.07
 15:26:06 up 1 day, 12:37,  0 users,  load average: 0.08, 0.07, 0.07
 15:26:07 up 1 day, 12:37,  0 users,  load average: 0.07, 0.07, 0.07
 15:26:08 up 1 day, 12:37,  0 users,  load average: 0.07, 0.07, 0.07
 15:26:09 up 1 day, 12:37,  0 users,  load average: 0.07, 0.07, 0.07
 15:26:10 up 1 day, 12:37,  0 users,  load average: 0.07, 0.07, 0.07
 15:26:11 up 1 day, 12:37,  0 users,  load average: 0.07, 0.07, 0.07
 15:26:12 up 1 day, 12:37,  0 users,  load average: 0.07, 0.06, 0.07
 15:26:13 up 1 day, 12:37,  0 users,  load average: 0.07, 0.06, 0.07
 15:26:14 up 1 day, 12:37,  0 users,  load average: 0.07, 0.06, 0.07
 15:26:15 up 1 day, 12:37,  0 users,  load average: 0.07, 0.06, 0.07
 15:26:16 up 1 day, 12:37,  0 users,  load average: 0.07, 0.06, 0.07
 15:26:17 up 1 day, 12:37,  0 users,  load average: 0.22, 0.10, 0.08
 15:26:18 up 1 day, 12:37,  0 users,  load average: 0.22, 0.10, 0.08
 15:26:19 up 1 day, 12:37,  0 users,  load average: 0.22, 0.10, 0.08
 15:26:20 up 1 day, 12:37,  0 users,  load average: 0.22, 0.10, 0.08
 15:26:21 up 1 day, 12:37,  0 users,  load average: 0.28, 0.11, 0.09
 15:26:22 up 1 day, 12:37,  0 users,  load average: 0.28, 0.11, 0.09
 15:26:23 up 1 day, 12:37,  0 users,  load average: 0.28, 0.11, 0.09
 15:26:24 up 1 day, 12:37,  0 users,  load average: 0.28, 0.11, 0.09
 15:26:25 up 1 day, 12:37,  0 users,  load average: 0.28, 0.11, 0.09
 15:26:26 up 1 day, 12:37,  0 users,  load average: 0.26, 0.11, 0.09
 15:26:28 up 1 day, 12:37,  0 users,  load average: 0.26, 0.11, 0.09
 15:26:29 up 1 day, 12:37,  0 users,  load average: 0.26, 0.11, 0.09
 15:26:30 up 1 day, 12:37,  0 users,  load average: 0.26, 0.11, 0.09
 15:26:31 up 1 day, 12:37,  0 users,  load average: 0.26, 0.11, 0.09
 15:26:32 up 1 day, 12:37,  0 users,  load average: 0.24, 0.11, 0.09
 15:26:33 up 1 day, 12:37,  0 users,  load average: 0.24, 0.11, 0.09
 15:26:34 up 1 day, 12:37,  0 users,  load average: 0.24, 0.11, 0.09
 15:26:35 up 1 day, 12:37,  0 users,  load average: 0.24, 0.11, 0.09
 15:26:36 up 1 day, 12:37,  0 users,  load average: 0.24, 0.11, 0.09
 15:26:37 up 1 day, 12:37,  0 users,  load average: 0.22, 0.11, 0.09
 15:26:38 up 1 day, 12:37,  0 users,  load average: 0.22, 0.11, 0.09
 15:26:39 up 1 day, 12:37,  0 users,  load average: 0.22, 0.11, 0.09
 15:26:40 up 1 day, 12:37,  0 users,  load average: 0.22, 0.11, 0.09
 15:26:41 up 1 day, 12:37,  0 users,  load average: 0.22, 0.11, 0.09
 15:26:42 up 1 day, 12:37,  0 users,  load average: 0.20, 0.10, 0.09
 15:26:43 up 1 day, 12:37,  0 users,  load average: 0.20, 0.10, 0.09
 15:26:44 up 1 day, 12:37,  0 users,  load average: 0.20, 0.10, 0.09
 15:26:45 up 1 day, 12:37,  0 users,  load average: 0.20, 0.10, 0.09
 15:26:46 up 1 day, 12:38,  0 users,  load average: 0.20, 0.10, 0.09
 15:26:47 up 1 day, 12:38,  0 users,  load average: 0.19, 0.10, 0.09
 15:26:48 up 1 day, 12:38,  0 users,  load average: 0.19, 0.10, 0.09
 15:26:49 up 1 day, 12:38,  0 users,  load average: 0.19, 0.10, 0.09
 15:26:50 up 1 day, 12:38,  0 users,  load average: 0.19, 0.10, 0.09
 15:26:51 up 1 day, 12:38,  0 users,  load average: 0.19, 0.10, 0.09
 15:26:52 up 1 day, 12:38,  0 users,  load average: 0.17, 0.10, 0.09
 15:26:53 up 1 day, 12:38,  0 users,  load average: 0.17, 0.10, 0.09
 15:26:54 up 1 day, 12:38,  0 users,  load average: 0.17, 0.10, 0.09
 15:26:55 up 1 day, 12:38,  0 users,  load average: 0.17, 0.10, 0.09
 15:26:56 up 1 day, 12:38,  0 users,  load average: 0.17, 0.10, 0.09
